id,domain_intent,sentence
1132,$$AskTwDate#AskTWDate,二月一號是幾月幾號請幫我找出來拜託
1135,$$AskTwDate#AskTWDate,六月二十八號是星期幾
1136,$$AskTwDate#AskTWDate,五月二十八星期幾啊
1144,$$AskTwDate#AskTWDate,今天幾月幾日
1152,$$AskTwDate#AskTWDate,今天幾月幾號了
1163,$$AskTwDate#AskTWDate,今天幾號
1171,$$AskTwDate#AskTWDate,今天星期幾
1173,$$AskTwDate#AskTWDate,今天星期幾呀
1176,$$AskTwDate#AskTWDate,今天星期幾啊
1177,$$AskTwDate#AskTWDate,今天星期幾幾月幾號
1178,$$AskTwDate#AskTWDate,今天星期幾呢
1183,$$AskTwDate#AskTWDate,今天是什麽特殊的日子嗎
1196,$$AskTwDate#AskTWDate,今天是幾月幾日
1201,$$AskTwDate#AskTWDate,今天是幾號
1209,$$AskTwDate#AskTWDate,今天是星期幾
1211,$$AskTwDate#AskTWDate,現在是幾月幾號幾點鐘
1216,$$AskTwDate#AskTWDate,今天是農曆幾月幾號
1219,$$AskTwDate#AskTWDate,今天是農曆幾月幾日
1227,$$AskTwDate#AskTWDate,今天的日期是什麼
1238,$$AskTwDate#AskTWDate,今天農曆幾號
1242,$$AskTwDate#AskTWDate,今天農曆是幾號
1246,$$AskTwDate#AskTWDate,今年中秋節幾月幾號
1257,$$AskTwDate#AskTWDate,今年是幾月幾號
1263,$$AskTwDate#AskTWDate,今年的九月二十四日是星期幾
1264,$$AskTwDate#AskTWDate,今年的端午節是哪一天
1267,$$AskTwDate#AskTWDate,今年農曆七月一號是國曆幾月幾號
1273,$$AskTwDate#AskTWDate,今年農曆的九月九號是星期幾
1294,$$AskTwDate#AskTWDate,你想想今天星期幾
1297,$$AskTwDate#AskTWDate,我今天幾月幾號
1299,$$AskTwDate#AskTWDate,元宵節是幾月幾號
1317,$$AskTwDate#AskTWDate,去年的今天是星期幾
1325,$$AskTwDate#AskTWDate,台灣今天幾月幾號
1332,$$AskTwDate#AskTWDate,嗯今天星期幾
1336,$$AskTwDate#AskTWDate,夏至是幾月幾號
1337,$$AskTwDate#AskTWDate,大後天是幾月幾號
1343,$$AskTwDate#AskTWDate,小幫手明天星期幾
1344,$$AskTwDate#AskTWDate,後天幾號
1363,$$AskTwDate#AskTWDate,我問你今天是星期幾
1372,$$AskTwDate#AskTWDate,六月十九號生日是農曆幾月幾號
1376,$$AskTwDate#AskTWDate,於過年什麼時候開始
1378,$$AskTwDate#AskTWDate,明天幾月幾日
1380,$$AskTwDate#AskTWDate,明天幾月幾號
1384,$$AskTwDate#AskTWDate,明天幾號
1389,$$AskTwDate#AskTWDate,明天星期幾
1395,$$AskTwDate#AskTWDate,明天是幾號啊
1396,$$AskTwDate#AskTWDate,明天是幾號阿
1402,$$AskTwDate#AskTWDate,明天農曆幾號啦
1408,$$AskTwDate#AskTWDate,昨天星期幾
1410,$$AskTwDate#AskTWDate,昨天是幾月幾號
1414,$$AskTwDate#AskTWDate,查教師節是幾號
1422,$$AskTwDate#AskTWDate,民國六十八年四月六號星期幾
1424,$$AskTwDate#AskTWDate,民國四十二年三月十五日是農曆幾號
1435,$$AskTwDate#AskTWDate,現在是幾月幾號
1437,$$AskTwDate#AskTWDate,現在是星期幾
1440,$$AskTwDate#AskTWDate,今天幾月幾號阿
1443,$$AskTwDate#AskTWDate,端午節是哪一天
1450,$$AskTwDate#AskTWDate,美國現在是幾月幾號
1452,$$AskTwDate#AskTWDate,清明節什麼時候
1460,$$AskTwDate#AskTWDate,請問中秋節幾號
1462,$$AskTwDate#AskTWDate,請問今天幾月幾號
1463,$$AskTwDate#AskTWDate,請問今天幾號
1467,$$AskTwDate#AskTWDate,請問今天是農曆幾號
1468,$$AskTwDate#AskTWDate,請問今天的日期是
1469,$$AskTwDate#AskTWDate,請問今天農曆幾月幾號
1470,$$AskTwDate#AskTWDate,請問六月四號是星期幾
1472,$$AskTwDate#AskTWDate,請問十一月十九日是星期幾
1480,$$AskTwDate#AskTWDate,農曆七月十五國曆幾號
1486,$$AskTwDate#AskTWDate,大年初一是幾號
1490,$$AskTwDate#AskTWDate,農曆幾號
1499,$$AskTwDate#AskTWDate,過年幾號
1500,$$AskTwDate#AskTWDate,過年是什麼時候
1501,$$AskTwDate#AskTWDate,過年是哪一天了
1502,$$AskTwDate#AskTWDate,過年是幾號
1503,$$AskTwDate#AskTWDate,過年是哪幾天
1507,$$AskTwDate#AskTWDate,那今天是幾號
1511,$$AskTwDate#AskTWDate,那現在是幾月幾號
1524,$$AskTwTime#AskTWTime,現在幾點了
1540,$$AskTwTime#AskTWTime,我現在時間
1542,$$AskTwTime#AskTWTime,不過請問現在幾點鐘了
1562,$$AskTwTime#AskTWTime,現在時間是幾點
1571,$$AskTwTime#AskTWTime,現在幾點鐘
1573,$$AskTwTime#AskTWTime,現在是幾點
1577,$$AskTwTime#AskTWTime,給我時間
1583,$$AskTwTime#AskTWTime,你好請問現在時間
1584,$$AskTwTime#AskTWTime,請問現在幾點了
1598,$$AskTwTime#AskTWTime,現在時間啦
1600,$$AskTwTime#AskTWTime,現在是幾點幾分
1608,$$AskTwTime#AskTWTime,想問現在幾點行嗎
1609,$$AskTwTime#AskTWTime,時間
1615,$$AskTwTime#AskTWTime,只是現在時間
1617,$$AskTwTime#AskTWTime,可以查詢時間
1628,$$AskTwTime#AskTWTime,台北現在幾點
1630,$$AskTwTime#AskTWTime,台北現在時間
1636,$$AskTwTime#AskTWTime,台南現在時間
1641,$$AskTwTime#AskTWTime,台灣現在幾點了
1643,$$AskTwTime#AskTWTime,台灣現在時間
1648,$$AskTwTime#AskTWTime,告訴我時間
1652,$$AskTwTime#AskTWTime,呵呵現在時間
1660,$$AskTwTime#AskTWTime,哦現在時間是
1663,$$AskTwTime#AskTWTime,喔現在幾點
1671,$$AskTwTime#AskTWTime,查詢時間
1675,$$AskTwTime#AskTWTime,好了請問現在是幾點
1683,$$AskTwTime#AskTWTime,你能查詢時間嗎
1689,$$AskTwTime#AskTWTime,幾點呢
1702,$$AskTwTime#AskTWTime,想知道現在的時間
1705,$$AskTwTime#AskTWTime,我們現在幾點鐘
1717,$$AskTwTime#AskTWTime,我現在的時間
1719,$$AskTwTime#AskTWTime,我要查現在時間
1721,$$AskTwTime#AskTWTime,我要查詢時間
1742,$$AskTwTime#AskTWTime,現在時間
1748,$$AskTwTime#AskTWTime,查時間
1780,$$AskTwTime#AskTWTime,查詢的時間
1789,$$AskTwTime#AskTWTime,現在中原標準時間是幾點
1799,$$AskTwTime#AskTWTime,現在幾點
1801,$$AskTwTime#AskTWTime,現在幾點啊
1833,$$AskTwTime#AskTWTime,現在幾點啊哈哈
1834,$$AskTwTime#AskTWTime,現在幾點啦
1873,$$AskTwTime#AskTWTime,現在幾點鐘了
1881,$$AskTwTime#AskTWTime,現在是什麼時間
1886,$$AskTwTime#AskTWTime,現在是幾點啊
1890,$$AskTwTime#AskTWTime,現在是幾點幾分幾秒
1900,$$AskTwTime#AskTWTime,現在是晚上幾點
1902,$$AskTwTime#AskTWTime,現在時刻
1912,$$AskTwTime#AskTWTime,現在時間是
1915,$$AskTwTime#AskTWTime,現在時間呢
1916,$$AskTwTime#AskTWTime,現在時間哦
1919,$$AskTwTime#AskTWTime,現在時間如何
1930,$$AskTwTime#AskTWTime,現在時間是幾
1945,$$AskTwTime#AskTWTime,查詢現在時間
1946,$$AskTwTime#AskTWTime,現在標準時間
1947,$$AskTwTime#AskTWTime,現在是幾點告訴我
1949,$$AskTwTime#AskTWTime,現在的時間
1953,$$AskTwTime#AskTWTime,現在的時間是
1959,$$AskTwTime#AskTWTime,現在的時間是幾點幾分
1961,$$AskTwTime#AskTWTime,現在的時間是機點
1984,$$AskTwTime#AskTWTime,而現在時間是多少
1996,$$AskTwTime#AskTWTime,請問幾點了
1997,$$AskTwTime#AskTWTime,請問幾點呢
1998,$$AskTwTime#AskTWTime,請問幾點
2000,$$AskTwTime#AskTWTime,請問現在幾點
2009,$$AskTwTime#AskTWTime,請問現在幾點幾分
2017,$$AskTwTime#AskTWTime,請問現在時間
2021,$$AskTwTime#AskTWTime,請問現在的時間是
2023,$$AskTwTime#AskTWTime,請問現在的時間是幾點
2032,$$AskTwTime#AskTWTime,還好現在幾點
2040,$$AskTwTime#AskTWTime,那我要查詢時間
2043,$$AskTwTime#AskTWTime,那現在幾點
2049,$$AskTwTime#AskTWTime,那請問現在幾點
2064,$$Exchange#AExchangeB,台幣兩萬塊換日幣
2076,$$Exchange#AExchangeB,新台幣兩萬換日幣
2099,$$Exchange#AExchangeB,一元美金兌換多少台幣
2121,$$Exchange#AExchangeB,一千塊台幣可以換多少韓元
2142,$$Exchange#AExchangeB,一塊台幣是多少日圓
2149,$$Exchange#AExchangeB,一塊台幣換多少人民幣
2175,$$Exchange#AExchangeB,一塊錢台幣是多少日圓
2202,$$Exchange#AExchangeB,一百元日幣是台幣多少
2248,$$Exchange#AExchangeB,一萬台幣可以換多少日幣
2261,$$Exchange#AExchangeB,一萬塊人民幣換台幣多少
2264,$$Exchange#AExchangeB,一萬塊台幣換美金多少
2289,$$Exchange#AExchangeB,七千塊台幣可以換多少日幣
2293,$$Exchange#AExchangeB,三十七萬印尼盾兌台幣多少錢
2325,$$Exchange#AExchangeB,三百塊美金是多少新台幣
2335,$$Exchange#AExchangeB,三萬兩千英鎊等於多少台幣
2371,$$Exchange#AExchangeB,五十萬日幣換台幣
2382,$$Exchange#AExchangeB,五千萬美金是多少台幣
2397,$$Exchange#AExchangeB,五萬台幣換多少日幣
2400,$$Exchange#AExchangeB,五萬港幣換算台幣
2407,$$Exchange#AExchangeB,一塊錢人民幣兌台幣
2421,$$Exchange#ExchangeRate,人民幣兌美元匯率
2442,$$Exchange#ExchangeRate,人民幣換算台幣
2444,$$Exchange#AExchangeB,一人民幣能換台幣多少
2518,$$Exchange#AExchangeB,三百歐元等於多少台幣
2530,$$Exchange#ExchangeRate,南非幣兌台幣
2534,$$Exchange#AExchangeB,一台灣多少日幣
2535,$$Exchange#ExchangeRate,台幣換日幣匯率
2549,$$Exchange#AExchangeB,一億元台幣換算日幣多少錢
2551,$$Exchange#AExchangeB,兩億元新台幣是多少泰銖
2564,$$Exchange#AExchangeB,五億台幣換美金
2585,$$Exchange#AExchangeB,三億美元換台幣多少錢
2598,$$Exchange#AExchangeB,三十億美元兌換台幣
2604,$$Exchange#AExchangeB,四億英鎊換新台幣
2605,$$Exchange#AExchangeB,五億英鎊的折合多少台幣
2606,$$Exchange#AExchangeB,六億英鎊等於多少台幣
2622,$$Exchange#AExchangeB,兩千五百元日幣換算成台幣
2623,$$Exchange#AExchangeB,兩千五百泰銖等於多少美金
2666,$$Exchange#AExchangeB,六萬塊台幣兌換多少日幣
2672,$$Exchange#AExchangeB,一百美金能換多少台幣
2703,$$Exchange#AExchangeB,十萬塊台幣兌換日圓共多少錢
2718,$$Exchange#ExchangeRate,印尼幣兌換台幣是多少錢
2726,$$Exchange#AExchangeB,一千台幣等於多少美金
2773,$$Exchange#AExchangeB,用台幣換三千日幣是多少
2774,$$Exchange#AExchangeB,台幣三萬元可以換多少日幣
2788,$$Exchange#ExchangeRate,台幣兌人民幣匯率
2792,$$Exchange#ExchangeRate,台幣兌南非幣匯率
2838,$$Exchange#ExchangeRate,台幣兌領人民幣匯率
2847,$$Exchange#AExchangeB,台幣兩萬換成日幣
2861,$$Exchange#AExchangeB,十台幣兌換人民幣是多少
2898,$$Exchange#ExchangeRate,台幣換日幣多少錢
2903,$$Exchange#AExchangeB,七千台幣換歐元
2913,$$Exchange#ExchangeRate,台幣換算成美金
2923,$$Exchange#AExchangeB,一千台幣換美金
2925,$$Exchange#AExchangeB,五萬台幣換美金多少錢
2950,$$Exchange#AExchangeB,八千台幣換人民幣
2956,$$Exchange#ExchangeRate,台幣美金匯率
2967,$$Exchange#ExchangeRate,台幣跟歐元怎麼兌換
2981,$$Exchange#ExchangeRate,台幣兌美元
2983,$$Exchange#AExchangeB,五千日幣換台幣
2992,$$Exchange#AExchangeB,四十五萬八千日幣換回台幣
3012,$$Exchange#AExchangeB,一美元兌換多少台幣
3041,$$Exchange#AExchangeB,五萬韓元等於多少台幣
3048,$$Exchange#AExchangeB,七百台幣是多少日幣
3066,$$Exchange#AExchangeB,我有二十塊台幣是多少美金
3078,$$Exchange#AExchangeB,我有一萬兩千三百四十塊新台幣可以換多少美金
3087,$$Exchange#ExchangeRate,我要了解台幣換港幣匯率
3092,$$Exchange#ExchangeRate,我要查台幣換人民幣換算
3114,$$Exchange#AExchangeB,新台幣一元換日幣多少錢
3127,$$Exchange#ExchangeRate,新台幣兌換歐元匯率最低多少錢
3133,$$Exchange#ExchangeRate,新台幣兌美元是多少
3151,$$Exchange#AExchangeB,新台幣六萬換日幣
3165,$$Exchange#AExchangeB,九百塊台幣換日幣是多少
3244,$$Exchange#ExchangeRate,日幣台幣的匯率
3259,$$Exchange#ExchangeRate,日幣換成台幣
3265,$$Exchange#AExchangeB,五千日幣換多少美金
3273,$$Exchange#ExchangeRate,日幣換算台幣
3294,$$Exchange#AExchangeB,新台幣二十萬換日幣
3353,$$Exchange#AExchangeB,港幣六百四等於台幣多少
3372,$$Exchange#ExchangeRate,澳幣換算台幣
3374,$$Exchange#AExchangeB,五澳幣是多少
3393,$$Exchange#AExchangeB,現在三塊錢美金是多少
3395,$$Exchange#ExchangeRate,現在美金兌台幣的行情
3400,$$Exchange#AExchangeB,現行新台幣兩萬換日幣
3437,$$Exchange#ExchangeRate,美元兌台幣換匯多少
3471,$$Exchange#AExchangeB,美金三百元一共可換台幣多少
3472,$$Exchange#AExchangeB,美金三百元一共可換台幣多少錢
3485,$$Exchange#AExchangeB,五美金兌台幣
3489,$$Exchange#AExchangeB,五美金兌換台幣
3519,$$Exchange#AExchangeB,五美金換台幣
3562,$$Exchange#AExchangeB,一萬兩千元的日圓可換多少美金
3576,$$Exchange#AExchangeB,十萬台幣兌日幣
3622,$$Exchange#ExchangeRate,越南盾換台幣匯率好嗎
3647,$$Exchange#AExchangeB,三千美金兌台幣
3692,$$Exchange#AExchangeB,一千星幣換台幣
3723,$$Exchange#AExchangeB,一百八十美換台幣
3730,$$Exchange#AExchangeB,一百美金是多少台幣
3758,$$Exchange#AExchangeB,一萬塊韓幣能換多少台幣
3783,$$Exchange#AExchangeB,三萬元日幣是多少台幣
3793,$$Exchange#ExchangeRate,日幣匯率
3833,$$Exchange#ExchangeRate,這五天的人民幣匯率
3862,$$Exchange#ExchangeRate,人民幣兌台幣的匯率
3904,$$Exchange#ExchangeRate,人民幣換算
3927,$$Exchange#ExchangeRate,今天台幣兌換美金的匯率
3929,$$Exchange#ExchangeRate,今天台幣兌人民幣的匯率是多少
3931,$$Exchange#ExchangeRate,今天台幣匯率如何
3937,$$Exchange#ExchangeRate,今天換美金多少
3941,$$Exchange#ExchangeRate,今天日幣換算台幣的匯率
3944,$$Exchange#ExchangeRate,今天泰幣的匯率
3998,$$Exchange#ExchangeRate,人民幣兌換台幣的匯率
4028,$$Exchange#AExchangeB,一千萬台幣是多少人民幣
4093,$$Exchange#AExchangeB,三億美元多少台幣
4100,$$Exchange#AExchangeB,五億英鎊多少台幣
4103,$$Exchange#AExchangeB,七億韓幣等於多少台幣
4107,$$Exchange#ExchangeRate,人民幣匯率好嗎
4130,$$Exchange#AExchangeB,兩千塊日幣換算成美金
4137,$$Exchange#AExchangeB,兩萬五萬日幣換歐元
4142,$$Exchange#ExchangeRate,日幣匯率多少
4175,$$Exchange#ExchangeRate,港幣匯率
4207,$$Exchange#ExchangeRate,匯率日幣
4255,$$Exchange#ExchangeRate,南非幣的匯率
4270,$$Exchange#ExchangeRate,兌人民幣匯率
4280,$$Exchange#ExchangeRate,美金匯率是多少
4292,$$Exchange#ExchangeRate,美金兌台幣多少
4364,$$Exchange#ExchangeRate,台幣兌換韓幣的匯率是多少
4389,$$Exchange#ExchangeRate,台幣匯率
4407,$$Exchange#ExchangeRate,台幣和韓幣的匯率是多少
4480,$$Exchange#ExchangeRate,換日幣
4483,$$Exchange#ExchangeRate,台灣銀行日幣匯率
4491,$$Exchange#ExchangeRate,台幣兌美金匯率
4501,$$Exchange#ExchangeRate,南非幣匯率
4539,$$Exchange#AExchangeB,十五萬日幣換台幣多少
4551,$$Exchange#ExchangeRate,澳幣匯率
4555,$$Exchange#AExchangeB,一萬日圓等於幾台幣
4557,$$Exchange#ExchangeRate,兌日幣匯率
4562,$$Exchange#ExchangeRate,幫我匯率換算日幣
4572,$$Exchange#ExchangeRate,美元匯率
4576,$$Exchange#ExchangeRate,想換美金匯率
4590,$$Exchange#ExchangeRate,我想知道日幣的換算
4621,$$Exchange#AExchangeB,我要換一萬塊日幣
4622,$$Exchange#ExchangeRate,我要換台幣
4672,$$Exchange#ExchangeRate,換美金
4679,$$Exchange#ExchangeRate,新加坡幣匯率漲幅
4740,$$Exchange#ExchangeRate,日圓兌換台
4749,$$Exchange#ExchangeRate,日圓匯率是
4805,$$Exchange#AExchangeB,日幣十萬換台幣
4833,$$Exchange#ExchangeRate,日幣牌價
4837,$$Exchange#ExchangeRate,日幣現金匯率
4870,$$Exchange#AExchangeB,兩萬換日幣
4871,$$Exchange#AExchangeB,幾台幣是十萬日幣
4925,$$Exchange#ExchangeRate,港幣匯率換算
4939,$$Exchange#ExchangeRate,美金換台幣
4952,$$Exchange#ExchangeRate,泰幣換歐元的匯率
5011,$$Exchange#ExchangeRate,現在台幣換日幣匯率多少
5059,$$Exchange#ExchangeRate,人民幣匯率
5067,$$Exchange#AExchangeB,三百三十萬元日幣是多少美金
5084,$$Exchange#AExchangeB,一歐元換台幣多少錢
5092,$$Exchange#ExchangeRate,紐幣換台幣
5118,$$Exchange#ExchangeRate,美元匯率多少
5187,$$Exchange#ExchangeRate,美金匯率
5200,$$Exchange#ExchangeRate,美金匯率多少錢
5251,$$Exchange#ExchangeRate,美金換台幣匯率
5282,$$Exchange#ExchangeRate,美金的匯率如何
5326,$$Exchange#ExchangeRate,英鎊匯率換算
5334,$$Exchange#ExchangeRate,菲律賓披索換美金
5380,$$Exchange#ExchangeRate,請問日本賣台幣是多少錢
5381,$$Exchange#AExchangeB,請問港幣一元是多少人民幣
5419,$$Exchange#AExchangeB,一塊錢等於幾美元
5469,$$Exchange#ExchangeRate,那日幣匯率
5477,$$Exchange#ExchangeRate,那請問澳幣現在如何換算
5516,$$Exchange#ExchangeRate,韓幣換台幣是多少錢
5520,$$Exchange#ExchangeRate,香港匯率換算台幣
5528,$$Freeway#ExceptionPlaceAsk,五股到後壁路況
5533,$$Freeway#ExceptionPlaceAsk,田中到新店
5537,$$Freeway#ExceptionPlaceAsk,國道一號南下高雄到屏東的路況
5556,$$Freeway#ExceptionPlaceAsk,三重到鹿港要多久
5558,$$Freeway#ExceptionPlaceAsk,屏東到恆春最快要多久
5574,$$Freeway#ExceptionPlaceAsk,中正交流道到蘆竹路況
5575,$$Freeway#ExceptionPlaceAsk,中正交流道路況
5579,$$Freeway#ExceptionPlaceAsk,二水到桃園
5582,$$Freeway#ExceptionPlaceAsk,五股到淡水有塞車嗎
5586,$$Freeway#ExceptionPlaceAsk,今晚基隆往金山方向國道路況
5590,$$Freeway#ExceptionPlaceAsk,內埔至屏東
5591,$$Freeway#ExceptionPlaceAsk,內埔的路況
5596,$$Freeway#ExceptionPlaceAsk,八德到桃園路況
5599,$$Freeway#ExceptionPlaceAsk,冬山到羅東
5606,$$Freeway#ExceptionPlaceAsk,台北到新莊
5607,$$Freeway#ExceptionPlaceAsk,南港到礁溪
5615,$$Freeway#ExceptionPlaceAsk,台中到松山
5634,$$Freeway#ExceptionPlaceAsk,台北至花蓮
5647,$$Freeway#ExceptionPlaceAsk,台東到新竹
5649,$$Freeway#ExceptionPlaceAsk,台東到板橋
5651,$$Freeway#ExceptionPlaceAsk,台東到花蓮
5654,$$Freeway#ExceptionPlaceAsk,台東到鳳山
5655,$$Freeway#ExceptionPlaceAsk,台東到鳳林的路況
5656,$$Freeway#ExceptionPlaceAsk,台東北上路況
5657,$$Freeway#ExceptionPlaceAsk,七雄是哪
5659,$$Freeway#ExceptionPlaceAsk,台東往台北的路況
5660,$$Freeway#ExceptionPlaceAsk,台東往宜蘭
5664,$$Freeway#ExceptionPlaceAsk,台股冬山路況
5668,$$Freeway#ExceptionPlaceAsk,員林到信義
5670,$$Freeway#ExceptionPlaceAsk,員林到田中
5673,$$Freeway#ExceptionPlaceAsk,問高雄美濃路況
5682,$$Freeway#ExceptionPlaceAsk,國道三號萬里至中和
5686,$$Freeway#ExceptionPlaceAsk,士林路況
5688,$$Freeway#ExceptionPlaceAsk,大武往台中
5694,$$Freeway#ExceptionPlaceAsk,太麻里塞車嗎
5697,$$Freeway#ExceptionPlaceAsk,太麻里快速道路狀況
5700,$$Freeway#ExceptionPlaceAsk,潮州到鹿港
5704,$$Freeway#ExceptionPlaceAsk,宜蘭到南澳
5712,$$Freeway#ExceptionPlaceAsk,屏東到台南
5718,$$Freeway#ExceptionPlaceAsk,屏東到新屋
5722,$$Freeway#ExceptionPlaceAsk,屏東到雲林
5728,$$Freeway#ExceptionPlaceAsk,幫我從五股導航到蘆洲
5731,$$Freeway#ExceptionPlaceAsk,平溪到關渡需要多久
5732,$$Freeway#ExceptionPlaceAsk,彰化到台東
5742,$$Freeway#ExceptionPlaceAsk,從圍籬到集集
5745,$$Freeway#ExceptionPlaceAsk,從屏東到台北
5764,$$Freeway#ExceptionPlaceAsk,大武路況
5765,$$Freeway#ExceptionPlaceAsk,樹林到台東
5780,$$Freeway#ExceptionPlaceAsk,新莊好開嗎
5790,$$Freeway#ExceptionPlaceAsk,斗六到樹林系統
5793,$$Freeway#ExceptionPlaceAsk,新北回到花蓮
5798,$$Freeway#ExceptionPlaceAsk,新莊到台中
5800,$$Freeway#ExceptionPlaceAsk,新莊到左營
5804,$$Freeway#ExceptionPlaceAsk,新豐到千秋路
5807,$$Freeway#ExceptionPlaceAsk,新豐到板橋
5815,$$Freeway#ExceptionPlaceAsk,新莊到台北
5816,$$Freeway#ExceptionPlaceAsk,大埤路況
5825,$$Freeway#ExceptionPlaceAsk,東港到桃園
5826,$$Freeway#ExceptionPlaceAsk,東港到高樹
5829,$$Freeway#ExceptionPlaceAsk,松山到池上
