domain_intent	sentence
$$Stock#AskStockInfoBySid	8033雷虎科技股票多少錢
$$Weather#WorldWeather	明天洛杉磯的氣象
$$UserNeedInstructions#UserNeedInstructions	我怎麼知道要說什麼啊
$$Stock#AskStockInfoByName	鴻海也是
$$Lottery#AskLottery	香港六合彩開幾號
$$Exchange#ExchangeRate	我要換台幣
$$Lottery#AskLottery	今天三星彩有開獎嗎
$$Stock#WantToBuyStock	我想要買股票歐格
$$Movie#AskTheaters	我想看移動迷宮
$$Railway#Search	查詢台鐵時刻表
$$Railway#Search	幫我查火車湖口到台北火車時刻表
$$Exchange#AExchangeB	五美金兌換台幣
$$Freeway#GasolinePrice	現在九五油價多少錢
$$Stock#AskStockInfoByName	請問無敵有
$$Lottery#AskLottery	六合彩的中獎號碼
$$Freeway#GasolinePrice	油價漲還跌
$$Movie#AskDateHotMovie	晚上的熱門電影
$$Railway#Order	我要訂台鐵三點五十四分台北發的自強號
$$Freeway#GasolinePrice	下週油價漲
$$Gold#AskGold	黃金牌價是多少
$$Freeway#ExceptionPlaceAsk	新北回到花蓮
$$Freeway#Freeway	中山高彰化路段路況
$$Stock#AskStocksByCategory	士林電機股票
$$Stock#AskStocksByCategory	電零股的
$$Stock#AskStockTrendReason	好股票志旭
$$Stock#AskStockFund	台北股市是
$$Stock#AskStockTrendReason	我明天亞泰會漲價嗎
$$Freeway#FreewayAtoB	燕巢往台中方向車多嗎
$$TPEMRT#TPEMRTAtoB	台北車站到台北101世貿站做捷運怎麼走
$$Weather#WorldWeather	黃山的天氣
$$Freeway#FreewayJunctionRule	查新竹交流道路況
$$Freeway#FreewayAtoB	彰化到桃園車流
$$AskTwDate#AskTWDate	民國四十二年三月十五日是農曆幾號
$$Railway#Order	我想訂去台北七點半以後的車
$$Movie#AskCityTheaters	你這邊最近的電影院
$$Gold#AskGold	今天的黃金牌價
$$Weather#WorldWeather	日本東京天氣狀況
$$Weather#WorldWeather	美國天氣好嗎
$$Movie#AskTheaters	我的少女時代有在高雄市播放嗎
$$Exchange#AExchangeB	我有一萬兩千三百四十塊新台幣可以換多少美金
$$Freeway#GasolinePrice	明天油價
$$Movie#AskMovies	屏東電影院播映的電影
$$Movie#AskToTheater	台南國賓戲院在哪邊
$$Exchange#ExchangeRate	美金匯率
$$Freeway#Freeway	現在國道五號的路況
$$Movie#BookingMovie	我要訂LoveLive台中市明天的票四張
$$Lottery#AskLottery	今天樂透開幾號
$$Poi#PoiLocationNearBy	紅羅罩附近的第一銀行
$$Stock#AskMarket	大盤指數型
$$Weather#SpotWeather	合歡山目前的天氣
$$Freeway#Freeway	喔國道一號南下車流多嗎
$$Poi#PoiLocationNearBy	昌平國小的附近有什麼東西
$$Movie#AskDateHotMovie	最近什麼電影好看
$$AskTwTime#AskTWTime	那請問現在幾點
$$Movie#AskMovies	目前美麗華電影上映的是
$$Weather#WorldWeather	十一月十六號台州的天氣
$$Stock#AskStockInfoBySid	一2439
$$Movie#AskTheaters	飢餓遊戲在哪裡上映
$$AskCurrentPosition#AskCurrentPosition	現在這裡是哪裡
$$THSRC#Search	請幫我查二零一一七月十七號的高鐵車次
$$Stock#AskStockInfoByName	如中信金股價
$$Movie#AskToTheater	台南新光怎麼去
$$Railway#Search	幫我查潮州到新左營的火車時刻表
$$Poi#PoiLocationNearBy	楊梅修理電視店家的地址
$$Railway#Order	宜蘭到花蓮普悠瑪號三張票
$$Stock#AskStockInfoBySid	會5269
$$Stock#AskStockInfoByName	明天東洋與
$$AskCurrentPosition#AskCurrentPosition	位置搜尋
$$Freeway#Freeway	中山高車況
$$Stock#AskFutures	今天期貨指數
$$Railway#Search	我想查台中到板橋車站的火車
$$Stock#AskStockInfoByName	台化今
$$Freeway#GasolinePrice	下個禮拜的油價
$$Stock#AskStockTrendReason	股票台驊會跌
$$Freeway#FreewayJunctionRule	老實說通霄交流道往南下路況
$$Freeway#ExceptionPlaceAsk	台東北上路況
$$Freeway#Freeway	那國道三號車多嗎
$$THSRC#Search	請幫我查七月二十七號的高鐵車票
$$Lottery#AskLottery	明天開的六合彩號碼
$$Stock#AskStockInfoByName	遠百的股票
$$Weather#LocalAirPollution	台南市新化區空氣汙染指數
$$Stock#AskLimitUpAndDown	跌停板
$$Stock#AskFutures	台指期收盤多少
$$Freeway#FreewayJunctionRule	麻豆交流道路況
$$Freeway#Freeway	國道五號有交通管制嗎
$$Movie#AskDateNewMovie	有新電影上映嗎
$$Stock#AskStockTrendReason	好啦好啦愛地雅股票之前
$$Stock#AskStockTrendReason	台積電大漲並
$$Stock#AskStockTrendReason	給我大漲的股票
$$Exchange#AExchangeB	一塊錢等於幾美元
$$Weather#WorldWeather	美國有下雨嗎
$$Railway#Search	我要查車票
$$Weather#SpotWeather	墾丁天氣查詢
$$Stock#AskStockHistory	F-貿聯歷史
$$Lottery#AskLottery	今天六合彩開獎號碼
$$Movie#AskMovies	豐原有什麼電影嗎
$$Freeway#FreewayJunctionRule	請你提供霧峰交流道路況圖
$$Poi#PoiLocationNearBy	台北世貿一館要怎麼走
$$UserNeedInstructions#UserNeedInstructions	那你還會什麼
$$Weather#WorldWeather	日本北海道的氣溫
$$Movie#AskToTheater	環球數位3D影城的地址
$$Stock#AskStockInfoByName	宏碁大
$$Lottery#AskLottery	明天的大樂透號碼
$$Poi#GoToAddr	導航宜蘭縣羅東鎮北寮街三十六巷八十八號
$$Movie#AskToTheater	國際影城怎麼去
$$Exchange#AExchangeB	五億英鎊多少台幣
$$Weather#WorldWeather	上海的天氣
$$Freeway#FreewayJunctionRule	名間交流道的路況
$$AskTwDate#AskTWDate	今天幾號
$$AskTwTime#AskTWTime	請問現在時間
$$Stock#AskStocksByCategory	至於汽車股海海航運
$$Weather#LocalAirPollution	桃園的空氣品質如何
$$Stock#AskMarket	大盤指數的
$$AskCurrentPosition#AskCurrentPosition	現在的位置在哪裡請說明
$$Freeway#FreewayJunctionRule	水上交流道路況
$$Movie#AskDateHotMovie	目前的熱門電影是啥
$$UserNeedInstructions#UserNeedInstructions	目前我可以問什麼的
$$Weather#WorldWeather	晚上赫爾辛基天氣是
$$Poi#TaiwanAreaPoi	南部哪裡好玩
$$Freeway#FreewayAtoB	樹林到林口段路況
$$Freeway#FreewayAtoB	景美到新社路況
$$UserNeedInstructions#UserNeedInstructions	你在說什麼呀
$$AskTwDate#AskTWDate	二零零六年八月六號是農曆幾月幾日
$$UserSayNo#UserSayNo	文不對題
$$Stock#AskStocksByCategory	電子股回
$$Weather#LocalAirPollution	高雄市空氣品質
$$Freeway#FreewayAtoB	埔里到台北車流量大嗎
$$Weather#SpotWeather	陽明山冷水坑現在氣溫
$$Movie#AskCityTheaters	高雄市的電影院有哪些
$$Exchange#AExchangeB	五億台幣換美金
$$Railway#Search	台鐵台南站有沒有直達車
$$Stock#AskStockInfoByName	股票眾星看
$$Stock#WantToBuyStock	我想要買怡華不禁
$$Gold#AskGold	黃金價
$$AskTwDate#AskTWDate	請問今天是農曆幾號
$$Stock#AskStockTrendReason	我要查南茂會跌嗎番社前
$$Movie#AskToTheater	幫我查大遠百電影院的地址
$$Weather#SpotWeather	墾丁目前的天氣
$$Freeway#ExceptionPlaceAsk	員林到信義
$$Stock#AskStockFund	台南股票資訊
$$Freeway#GasolinePrice	今天油價多少錢
$$Railway#Search	火車查詢
$$AskTwDate#AskTWDate	六月二十八號是星期幾
$$Stock#AskStockInfoByName	大立光的股票票價左手
$$AskTwDate#AskTWDate	九月二十五號是禮拜幾
$$THSRC#Search	高鐵一號有沒有開
$$Weather#LocalWeather	明天會下雪了嗎
$$THSRC#Search	台北往高雄的高鐵幾點有車
$$Movie#AskMovieDetail	流浪摩洛哥好看嗎
$$Railway#Search	請再幫我看四月九號台北到瑞穗的莒光號
$$Gold#AskGold	黃金銀行匯率
$$Stock#AskListedExponent	我大盤加權指數
$$Stock#AskStocksByCategory	太平洋生技股價
$$Freeway#FreewayAtoB	台中到高雄怎麼走
$$Stock#AskStocksByCategory	我想知道食品股鳳德街更是
$$Freeway#Freeway	現在中山高速公路到新市有塞車嗎
$$Weather#TaiwanRegionWeather	中部會不會下雨
$$Exchange#ExchangeRate	人民幣換算
$$Stock#AskMarket	股票走勢和
$$Stock#AskCounterExponent	晶讚股市上櫃了嗎
$$Freeway#GasolinePrice	九八無鉛汽油價格
$$Freeway#ExceptionPlaceAsk	花蓮到板橋
$$TPEMRT#TPEMRTAtoB	從龍山寺到淡水的捷運規劃圖
$$Weather#LocalAirPollution	台北市空氣品質
$$Freeway#ExceptionPlaceAsk	內埔的路況
$$Movie#AskDateHotMovie	我想知道最近熱門的電影
$$Stock#AskStockFund	台南股票資訊來
$$Movie#AskMovies	信義威秀有演聖母峰嗎
$$AskTwTime#AskTWTime	哦現在時間是
$$Railway#Search	台鐵車票查詢泰山北上時刻表喔
$$Movie#AskToTheater	台南國賓怎麼去
$$Stock#AskMarket	你股票走勢
$$AskTwDate#AskTWDate	農曆幾號
$$Freeway#Freeway	國道一號現在路況如何
$$Railway#Search	台南到鳳山火車時刻
$$Movie#AskDateHotMovie	請問現在熱門的電影有什麼
$$Stock#AskStockInfoBySid	好好3686
$$AskTwDate#AskTWDate	明天幾號
$$Weather#LocalAirPollution	空氣狀況
$$Exchange#AExchangeB	五億英鎊的折合多少台幣
$$Lottery#AskLottery	發票號碼查詢
$$Stock#AskStockInfoByName	F-達輝是
$$Weather#LocalWeather	明天新北市天氣如何
$$Stock#AskStockInfoBySid	8050廣積
$$Freeway#FreewayAtoB	從桃園去宜蘭要怎麼去
$$Weather#LocalWeather	明天高雄的天氣會是如何
$$Weather#SpotWeather	陽明山溫度
$$UserSayNo#UserSayNo	阿不是要談呢
$$Railway#Order	屏東到金崙台鐵莒光號一張
$$Railway#Search	查詢楊梅到談文火車站車次
$$Stock#CanBuyItByName	海德威投資
$$Exchange#ExchangeRate	日幣台幣的匯率
$$UserSayNo#UserSayNo	不是啦
$$Weather#LocalAirPollution	宜蘭的空氣好嗎
$$Weather#WorldWeather	外木山明天的天氣
$$Weather#LocalAirPollution	今天台蘭的空氣好嗎
$$Movie#AskDateHotMovie	我要熱門電影
$$Movie#BookingMovie	我要台北華納威秀LoveLive兩張票
$$Exchange#ExchangeRate	紐幣換台幣
$$AskTwDate#AskTWDate	請問十一月十九日是星期幾
$$Stock#AskStockInfoBySid	趁5321
$$AskTwDate#AskTWDate	二月一號是幾月幾號請幫我找出來拜託
$$THSRC#Search	我想要查五月二十九號高鐵台北到台中車次
$$Movie#AskDateHotMovie	六月十三日熱門電影是什麼
$$Freeway#ExceptionPlaceAsk	五股到後壁路況
$$AskCurrentPosition#AskCurrentPosition	現在的位置是哪裡
$$Stock#AskStockFund	台北股市如何
$$Freeway#ExceptionPlaceAsk	高雄到橋頭
$$Gold#AskGold	黃金現在已經多少錢了
$$Movie#AskMovies	信義威秀今天有小王子嗎
$$Freeway#GasolinePrice	民營油價
$$Weather#WorldWeather	石垣島會下雨嗎
$$Stock#AskFutures	期貨SOGO
$$Freeway#ExceptionPlaceAsk	花蓮至羅東的路況檢測
$$Exchange#AExchangeB	我有二十塊台幣是多少美金
$$Exchange#ExchangeRate	日圓兌換台
$$Exchange#AExchangeB	新台幣一元換日幣多少錢
$$Exchange#AExchangeB	九百塊台幣換日幣是多少
$$Movie#AskMovieDetail	名偵探柯南評價如何
$$Freeway#ExceptionPlaceAsk	現在去鹿谷好開車嗎
$$Freeway#Freeway	國三交流道塞車嗎
$$Poi#PoiLocationNearBy	附近有沒有賣牛肉麵的
$$Movie#AskMovies	華納威秀今天播放的電影
$$AskTwDate#AskTWDate	今天幾月幾號了
$$Freeway#FreewayAtoB	台北到高雄塞車嗎
$$Movie#AskDateHotMovie	請問現在有什麼好看的電影
$$Lottery#AskLottery	今彩五三九中獎號碼
$$Exchange#ExchangeRate	我要了解台幣換港幣匯率
$$Freeway#ExceptionPlaceAsk	樹林到楊梅啦
$$Stock#AskStocksByCategory	觀光股的
$$Stock#AskMarket	三大股市
$$Poi#PoiLocationNearBy	達明眼科醫院在哪啊
$$Stock#AskStockInfoByName	大立光現金價
$$Movie#AskToTheater	高雄環球影城的地址
$$Stock#AskStockInfoByName	F-乙盛
$$Movie#AskCityTheaters	台南哪裡有電影院
$$AskTwTime#AskTWTime	現在是什麼時間
$$Stock#AskStocksByCategory	台中市資服股
$$Movie#AskDateHotMovie	現在有什麼好看的電影
$$Exchange#ExchangeRate	匯率日幣
$$Movie#AskCategoryMoviesByTheater	台南電影院上的卡通影片
$$Freeway#Freeway	國道一號的路況即時通
$$Stock#AskStockTrendReason	綠能股票很好
$$AskTwTime#AskTWTime	我要查詢時間
$$Freeway#Freeway	雪隧為什麼塞車
$$Railway#Order	桃園到高雄左營站下午三點的自強號一張
$$Freeway#Freeway	請問中山高速公路苗栗路段路況
$$Weather#WorldWeather	日本東京的天氣
$$Poi#GoToAddr	新北市民權路怎麼去
$$Stock#WantToBuyStock	我要買哪一支股票
$$Exchange#ExchangeRate	現在台幣換日幣匯率多少
$$Stock#AskStockTrendReason	幸福表還會跌嗎
$$UserSayNo#UserSayNo	才不是勒
$$Stock#AskStockFund	看股票高雄
$$Exchange#AExchangeB	五萬韓元等於多少台幣
$$Exchange#ExchangeRate	現在美金兌台幣的行情
$$Exchange#ExchangeRate	換美金
$$AskCurrentPosition#AskCurrentPosition	我現在在哪裡
$$Freeway#Freeway	國道三號大甲系統路況
$$TPEMRT#TPEMRTAtoB	淡水到南勢角請問我怎麼搭捷運
$$Exchange#AExchangeB	我要換一萬塊日幣
$$UserSayNo#UserSayNo	不是我沒意義
$$Movie#AskDateNewMovie	現在有那些電影
$$Gold#AskGold	今天黃金牌價
$$Freeway#Freeway	現在國道五號塞車嗎
$$UserSayNo#UserSayNo	我不是唉唉唉
$$Weather#TaiwanRegionWeather	南台灣天氣
$$Freeway#FreewayJunctionRule	燕巢交流道路況
$$Stock#AskStockInfoBySid	3550的
$$Weather#LocalAirPollution	台南市永康區空氣品質
$$Weather#LocalAirPollution	萬里的空氣品質
$$Stock#AskStockHistory	群創三個月歷史股價
$$Railway#Order	我要訂車票
$$Exchange#ExchangeRate	幫我匯率換算日幣
$$Lottery#AskLottery	大樂透號碼
$$Poi#PoiLocationNearBy	誠品書店旁邊的美食有什麼
$$AskTwDate#AskTWDate	於過年什麼時候開始
$$Freeway#FreewayAtoB	現在從花蓮到新店會不會塞車
$$Weather#SpotWeather	南投溪頭明天的天氣
$$Weather#WorldWeather	東京溫度
$$Movie#AskMovies	台茂電影時刻表
$$Stock#AskMarket	股票看
$$THSRC#Order	高鐵訂票
$$Freeway#Freeway	國道五號是否暢通
$$Movie#AskToTheater	高雄夢時代怎麼去
$$Freeway#GasolinePrice	柴油油價
$$Railway#Search	台鐵時刻查詢
$$THSRC#Order	搭高鐵訂票台北到桃園
$$THSRC#Search	查詢高鐵左營站班次
$$Stock#AskMarket	今日股價分析
$$Stock#CanBuyItByName	再告訴我股票宏碁可以買嗎
$$AskCurrentPosition#AskCurrentPosition	噢我在哪裡
$$Stock#AskStockInfoByName	股票F*太景你得花錢
$$Movie#AskToTheater	大江星橋影城在哪邊
$$Weather#LocalWeather	會不會很冷很冷很冷啊台北
$$Weather#LocalAirPollution	宜蘭空氣品質
$$Weather#SpotWeather	阿里山下午的天氣如何
$$Gold#AskGold	最近黃金的價錢
$$Stock#AskStocksByCategory	中國鋼鐵股價
$$Freeway#Freeway	國道五號高乘載時間
$$Weather#TaiwanRegionWeather	今天中部天氣如何
$$Freeway#ExceptionPlaceAsk	鼎金交流道至中正交流道的路況
$$Stock#AskMarket	因此大盤指數多少我
$$Railway#Search	星期一的普悠瑪號是幾點
$$AskCurrentPosition#AskCurrentPosition	你知道我現在位置嗎
$$Freeway#GasolinePrice	原油價格
$$Lottery#AskLottery	十一十二月發票號碼為
$$Movie#AskMovies	信義威秀有魔獸崛起嗎
$$Railway#Search	台中烏日站出發的電聯車幾點發車
$$Weather#WorldWeather	中國貴州天氣
$$Railway#Search	麻煩查詢斗六到台東的普悠瑪時間
$$Stock#AskStocksByCategory	上櫃生技股浩鼎
$$THSRC#Search	新左營到台北的高鐵幾點開
$$Exchange#ExchangeRate	泰幣換歐元的匯率
$$Lottery#AskLottery	大樂透開獎
$$Freeway#FreewayAtoB	台中到宜蘭怎麽坐車
$$AskTwDate#AskTWDate	三月七號是農曆幾號
$$AskCurrentPosition#AskCurrentPosition	而我在哪裡
$$Stock#AskStockInfoByName	宏碁也顯示
$$Movie#AskMovies	幫我找信義威秀的出神入化時刻表
$$Railway#Search	煤源到橋頭火車時刻表
$$Lottery#AskLottery	給我中獎大樂透號碼
$$TPEMRT#TPEMRTAtoB	我要從景美站去萬芳醫院捷運怎麼坐
$$Railway#Order	火車湧進到員林的區間車一張
$$Poi#PoiLocationNearBy	附近泡溫泉的景點
$$AskTwDate#AskTWDate	美國現在是幾月幾號
$$Railway#Search	台東至台北所有車次查詢
$$AskCurrentPosition#AskCurrentPosition	你知道我在哪裡嗎
$$AskTwDate#AskTWDate	過年是哪幾天
$$Freeway#ExceptionPlaceAsk	大武往台中
$$Stock#AskStockHistory	如台聯電歷史
$$Weather#WorldWeather	日本現在天氣
$$Exchange#AExchangeB	三百三十萬元日幣是多少美金
$$Weather#LocalAirPollution	今天宜蘭的空氣品質好嗎
$$Freeway#FreewayAtoB	桃園到嘉義路況
$$Stock#AddStockToMyStock	可以詢台虹納入了
$$Stock#AskStockTrendReason	中和股票好多了
$$Lottery#AskLottery	大樂透號碼牌
$$Poi#PoiLocationNearBy	馬公高中要怎麼去
$$Stock#AskStockTrendReason	想知道明天台股會漲還是會點
$$Freeway#Freeway	中山高速公路南下
$$Railway#Search	台鐵自強號中壢到台南要多少錢
$$Stock#AskStocksByCategory	小蠻電零股
$$AskTwTime#AskTWTime	現在幾點了
$$Stock#CanBuyItByName	鴻海股票可以買嗎
$$Movie#AskDateHotMovie	推薦影片
$$Movie#AskDateHotMovie	最近有什麼好看又推薦的電影
$$Weather#WorldWeather	現在韓國溫度如何
$$Exchange#AExchangeB	五千日幣換台幣
$$Stock#AskStockTrendReason	明天可成會漲嗎
$$Freeway#FreewayJunctionRule	茄苳交流道的車流量大嗎
$$Freeway#Freeway	今天國道一號路況天候
$$Stock#AskStockInfoByName	股票台化至
$$Freeway#ExceptionPlaceAsk	屏東到台南
$$Movie#AskDateHotMovie	古巴熱門電影
$$Gold#AskGold	我要知道黃金以前是多少價格
$$Stock#AskStockInfoBySid	2010是誰
$$Freeway#ExceptionPlaceAsk	現在從樹林到台中有塞車嗎
$$Poi#PoiLocationNearBy	我現在要怎麼到大東夜市
$$Exchange#AExchangeB	一萬塊台幣換美金多少
$$Exchange#AExchangeB	五千萬美金是多少台幣
$$Stock#AskMarket	他今天大盤指數
$$Railway#Order	台北到高雄的自強號兩張
$$Stock#AskStockInfoBySid	4953日將
$$Stock#AskStockInfoByName	我光洋科
$$Stock#AskStockInfoByName	台積電不
$$Freeway#FreewayAtoB	桃園到苗栗有高乘載嗎
$$Railway#Order	台鐵訂票高雄到屏東莒光一張
$$Movie#AskDateHotMovie	最新熱門的電影
$$Movie#AskTheaters	高雄葉問三時刻表
